;; -*- coding: utf-8 -*--
a-kui-na 阿奎那
lao-dong-zheng-yi 劳动争议
lao-dong-zhong-cai 劳动仲裁
lao-gong-fa 劳工法
lao-wu-bao-chou 劳务报酬
lao-wu-he-tong 劳务合同
lao-wu-jiu-fen 劳务纠纷
lao-wu-shu-chu 劳务输出
lei-bie-guan-xia 类别管辖
lei-si-shang-pin 类似商品
lei-tui-shi-yong 类推适用
lei-zui-ming 类罪名
li-an 立案
li-an-cai-liao 立案材料
li-an-cheng-xu 立案程序
li-an-guan-xia 立案管辖
li-an-ji-guan 立案机关
li-an-jia-ge 离岸价格
li-an-jue-ding 立案决定
li-an-tiao-jian 立案条件
li-an-zhen-cha 立案侦查
li-chang-qi 李昌麒
li-fa 立法
li-fa-cheng-xu 立法程序
li-fa-fa 立法法
li-fa-ji-gou 立法机构
li-fa-quan-xian 立法权限
li-fa-ti-zhi 立法体制
li-fa-yuan-ze 立法原则
li-fa-zhe 立法者
li-gong 立功
li-hai-guan-xi 利害关系
li-hai-guan-xi-ren 利害关系人
li-hun 离婚
li-hun-cheng-xu 离婚程序
li-hun-de-fa-ding-tiao-jian 离婚的法定条件
li-hun-de-xiao-li 离婚的效力
li-hun-pan-ding 离婚判定
li-hun-tiao-jian 离婚条件
li-hun-xie-yi 离婚协议
li-hun-xie-yi-shu 离婚协议书
li-jian-wei-gong 立检为公
li-lin 李林
li-long 李龙
li-lv 利率
li-meng 李猛
li-pei 理赔
li-run-fen-pei 利润分配
li-run-liu-cheng 利润留成
li-shen-zhi 李慎之
li-shi-fa-xue 历史法学
li-shi-fa-xue-pai 历史法学派
li-shi-fan-ge-ming-fan 历史反革命犯
li-shi-jie-duan 历史阶段
li-shi-lei-xing 历史类型
li-shi-yi-liu-wen-ti 历史遗留问题
li-suan 理算
li-suan-gui-ze 理算规则
li-xi 利息
li-xing 理性
li-xing-zhu-yi 理性主义
li-yi-fa-xue 利益法学
li-yong-feng-jian-mi-xin-jin-xing-fan-ge-ming-huo-dong-zui 利用封建迷信进行反革命活动罪
li-yong-zhi-wu-zhi-bian 利用职务之便
li-yu-fan 利欲犯
li-zheng-hua 李正华
li-zhi-tou-zi-zhe 理智投资者
lian-dai-bao-zheng-ze-ren 连带保证责任
lian-dai-guan-xia 联带管辖
lian-dai-pei-chang-ze-ren 连带赔偿责任
lian-dai-ze-ren 连带责任
lian-dai-zhai-quan 连带债权
lian-dai-zhai-wu 连带债务
lian-dai-zhai-wu-ze-ren 连带债务责任
lian-he-guo-guo-ji-huo-wu-xiao-shou-he-tong-gong-yue 联合国国际货物销售合同公约
lian-he-yun-shu-he-tong 联合运输合同
lian-he-zhi-pian-ren 联合制片人
lian-huan-gou-xiao-he-tong 连环购销合同
lian-huan-hang-ci-zu-chuan-he-tong 连环航次租船合同
lian-jie 链接
lian-lei-fan 连累犯
lian-suo-shi-jiao-suo 连锁式教唆
lian-xu-gong-ling 连续工龄
lian-xu-xing-jiao-suo 连续性教唆
lian-ying 联营
lian-ying-he-tong 联营合同
lian-ying-xie-yi 联营协议
lian-yun-xie-zuo-guan-xi 联运协作关系
liang-da-fa-xi 两大法系
liang-he-gong-si 两合公司
liang-hui-xing 梁慧星
liang-ji-fa-yuan 两级法院
liang-shen-zhong-shen-zhi 两审终审制
liang-xing 量刑
liang-xing-jie-guo 量刑结果
liang-zhi-ping 梁治平
lin-di-shi-yong-quan 林地使用权
lin-jie-quan 邻接权
lin-lai-fan 林来梵
lin-mu-cai-fa-quan 林木采伐权
lin-mu-cheng-bao-he-tong 林木承包合同
lin-shi-bao-hu-qi 临时保护期
lin-shi-gu-dong-hui 临时股东会
lin-shi-ying-ye-zhi-zhao 临时营业执照
ling-hai-ji-pi-lian-qu-fa 领海及毗连区法
ling-huo-ping-zheng 领货凭证
ling-huo-xing 灵活性
ling-shi-guan-xi-fa 领事关系法
ling-tu 领土
ling-tu-zhu-quan 领土主权
ling-xing-wei-tuo-bian-hu 另行委托辩护
liu-cuan-fan 流窜犯
liu-heng 刘恒
liu-jian-wen 刘剑文
liu-jun-ning 刘军宁
liu-mang-zui 流氓罪
liu-ming-xiang 刘明祥
liu-ren-wen 刘仁文
liu-tong-wu 流通物
liu-wu-jun 刘武俊
liu-xiao-feng 刘小枫
liu-xing 刘星
liu-zhi 留置
liu-zhi-quan 留置权
liu-zhi-song-da 留置送达
liu-zuo-xiang 刘作翔
long-bo-luo-suo 龙勃罗梭
long-wei-qiu 龙卫球
long-ya-ren 聋哑人
long-zong-zhi 龙宗智
lou-dong-ceng-chu 漏洞层出
lu-de 路德
lu-kong-bao-xian 陆空保险
lu-suo 卢梭
lu-yin-yi-zhu 录音遗嘱
lu-yin-zhi-pin 录音制品
lu-ying 鲁英
lun-jian 轮奸
lun-li-zi-xiang-mao-dun 论理自相矛盾
luo-er-si 罗尔斯
luo-ji-jie-gou 逻辑结构
luo-ke 洛克
luo-kuan 落款
luo-ma-fa 罗马法
luo-ma-fa-xi 罗马法系
lv-ke-yun-shu-he-tong 旅客运输合同
lv-shi-dai-li-fei 律师代理费
lv-shi-fa 律师法
lv-shi-xie-hui 律师协会
lv-shi-zhi-ye-dao-de 律师职业道德
lv-shi-zhi-ye-xing-wei-gui-fan 律师执业行为规范
lv-shi-zhi-ye-ze-ren 律师职业责任
lv-xing-bu-neng 履行不能
lv-xing-chi-yan 履行迟延
lv-xing-di 履行地
lv-xing-fa-ding-zhi-ze 履行法定职责
lv-xing-kang-bian-quan 履行抗辩权
lv-xing-ze-ren 履行责任
lv-yan-feng 吕岩峰
lv-you-he-tong 旅游合同
lv-zhong-mei 吕忠梅
ma-chang-shan 马长山
ma-ji-ya-fu-li 马基雅弗利
ma-ke-si-zhu-yi 马克思主义
ma-li-dan 马里旦
mai-bo-ting-zhi-shuo 脉膊停止说
mai-cang-wu 埋藏物
mai-hui-quan 买回权
mai-huo-fei-er 迈霍费尔
mai-kong-mai-kong 买空卖空
mai-mai-bu-po-zu-lin 买卖不破租赁
mai-mai-he-tong 买卖合同
mai-mai-hun-yin 买卖婚姻
mai-mai-shuang-fang 买卖双方
mai-mai-xing-wei-xia-ci 买卖行为瑕疵
man-kun 曼昆
mao-ling-cun-kuan 冒领存款
mao-yong 冒用
mei-guo-xian-fa 美国宪法
mei-shu-zuo-pin 美术作品
mei-shu-zuo-pin-du-chuang-xing 美术作品独创性
mei-yin 梅因
meng-de-si-jiu 孟德斯鸠
mi-er 密尔
mi-mi-he-huo-ren 秘密合伙人
mi-mi-xing 秘密性
mi-xin-fan 迷信犯
mian-chu 免除
mian-shui 免税
mian-yu-qi-su 免予起诉
mian-yu-qi-su-jue-ding-shu 免予起诉决定书
mian-ze-tiao-jian 免责条件
mian-ze-tiao-kuan 免责条款
mie-shi 灭失
min-fa 民法
min-fa-dian 民法典
min-fa-tong-ze 民法通则
min-jian-fa 民间法
min-jian-jie-dai 民间借贷
min-shang-fa 民商法
min-shang-jing-ji-fa 民商经济法
min-shang-shi-an-jian 民商事案件
min-shi-an-jian 民事案件
min-shi-jiu-fen 民事纠纷
min-shi-quan-li 民事权利
min-shi-quan-li-gong-min-quan-li 民事权利公民权利
min-shi-quan-li-neng-li 民事权利能力
min-shi-su-song 民事诉讼
min-shi-su-song-fa 民事诉讼法
min-shi-su-song-zheng-ju 民事诉讼证据
min-shi-wu-xiao-xing-wei 民事无效行为
min-shi-xing-wei 民事行为
min-shi-xing-wei-neng-li 民事行为能力
min-shi-ze-ren 民事责任
min-shi-zhi-cai 民事制裁
min-shi-zhu-ti 民事主体
min-shi-zhu-ti-zi-ge 民事主体资格
min-su 民诉
min-xing-chu 民行处
min-xing-ke 民行科
min-yong-hang-kong-fa 民用航空法
min-zhu 民主
min-zhu-zheng-zhi 民主政治
min-zu-qu-yu-zi-zhi-fa 民族区域自治法
ming-cheng-quan 名称权
ming-de-shen-fa 明德慎罚
ming-sheng-gu-ji 名胜古迹
ming-shi-dan-bao 明示担保
ming-shi-he-huo 明示合伙
ming-wei-lian-ying-shi-wei-jie-dai 名为联营实为借贷
ming-yi-he-huo-ren 名义合伙人
ming-yi-jia-ge 名义价格
ming-you-biao-zhi 名优标志
ming-you-chan-pin-rong-yu-quan 名优产品荣誉权
ming-yu-quan 名誉权
ming-zhi 明知
mo-ji-hong 莫纪宏
mo-ren 默认
mo-shi 默示
mo-shi-dan-bao 默示担保
mo-shou 没收
mo-shou-cai-chan 没收财产
mu-di-fan 目的犯
mu-gong-si 母公司
mu-ji-she-li 募集设立
mu-lu 目录
mu-ya-ping 慕亚平
mu-ye-shui 牧业税
na-shui-ren 纳税人
nan-nv-ping-deng 男女平等
nan-nv-ping-deng-cai-chan-quan-li 男女平等财产权利
nei-bu-xing-zheng-he-tong 内部行政合同
nei-bu-zhi-gong-gu 内部职工股
nei-bu-zhi-gong-gu-si-xia-jiao-yi 内部职工股私下交易
nei-guo-fa 内国法
nei-mu-jiao-yi 内幕交易
nei-rong-cuo-wu 内容错误
nei-tui 内退
neng-fan-wei-sui 能犯未遂
neng-yuan-gong-ying-he-tong 能源供应合同
neng-yuan-yun-shu-he-tong 能源运输合同
ni-bo-er-bao-hu-wen-xue-he-yi-shu-zuo-pin-gong-yue 尼泊尔保护文学和艺术作品公约
ni-zhi-xue-qin 拟制血亲
nian-du-bao-gao 年度报告
niu-song 扭送
nong-cun-cheng-bao-jing-ying-hu 农村承包经营户
nong-cun-he-zuo-ji-jin-hui 农村合作基金会
nong-cun-tu-di-cheng-bao-fa 农村土地承包法
nong-fu-chan-pin-shou-gou-he-tong 农副产品收购合同
nong-huo-cheng-bao 农活承包
nong-lin-te-chan-shui 农林特产税
nong-ye-shui 农业税
nong-ye-ze-ren-cheng-bao-he-tong 农业责任承包合同
nue-dai-zui 虐待罪
nuo-cheng-he-tong 诺成合同
nuo-cheng-xing-bu-yao-shi-he-tong 诺成性不要式合同
nuo-cheng-xing-xing-wei 诺成性行为
nuo-si 诺思
nuo-yong-gong-kuan 挪用公款
nuo-yong-gong-kuan-zui 挪用公款罪
nuo-yong-guo-jia-te-ding-kuan-wu-zui 挪用国家特定款物罪
nv-quan-zhu-yi-fa-xue 女权主义法学
nv-zhi-gong-lao-dong-bao-hu 女职工劳动保护
ou-fan 偶犯
ou-ran-yin-guo-guan-xi 偶然因果关系
pai-chu-fang-ai 排除妨碍
pai-chu-she-hui-wei-hai-xing-de-xing-wei 排除社会危害性的行为
pai-mai 拍卖
pai-mai-fa 拍卖法
pai-mai-he-tong 拍卖合同
pai-mai-shang 拍卖商
pai-sheng-de-fan-zui-gou-cheng 派生的犯罪构成
pan-en 潘恩
pan-fu-li-xi-sun-shi 判付利息损失
pan-jue-shu 判决书
pan-li 判例
pan-li-fa 判例法
pan-li-hui-bian 判例汇编
pang-de 庞德
pang-xi-xue-qin 旁系血亲
pao-qi-wu 抛弃物
pao-shou 抛售
pei-chang-biao-zhun 赔偿标准
pei-chang-dan-bao 赔偿担保
pei-chang-fan-wei 赔偿范围
pei-chang-jin 赔偿金
pei-chang-qing-qiu-ren 赔偿请求人
pei-chang-shu-e 赔偿数额
pei-chang-sun-shi 赔偿损失
pei-chang-xie-yi 赔偿协议
pei-chang-yi-wu 赔偿义务
pei-chang-ze-ren 赔偿责任
pei-chang-ze-ren-xian-zhi 赔偿责任限制
pei-gu-chu-quan 配股除权
pei-li-dao-qian 赔礼道歉
pei-ou 配偶
pei-shen-zhi-du 陪审制度
pei-xun-fei 培训费
pei-yang-he-tong 培养合同
pen-jing-zuo-pin 盆景作品
peng-zhuang-ze-ren 碰撞责任
pi-bu-ke 批捕科
pi-fu 批复
pi-pan-fa-xue 批判法学
pi-zhun-dai-bu 批准逮捕
pian-jian 骗奸
piao-ju 票据
piao-ju-bao-zheng 票据保证
piao-ju-bian-zao 票据变造
piao-ju-dao-qi-ri 票据到期日
piao-ju-de-sang-shi 票据的丧失
piao-ju-de-wei-zao 票据的伪造
piao-ju-fa 票据法
piao-ju-guan-xi 票据关系
piao-ju-ji-chu-guan-xi 票据基础关系
piao-ju-kang-bian 票据抗辩
piao-ju-neng-li 票据能力
piao-ju-quan-li 票据权利
piao-ju-quan-li-de-shan-yi-qu-de 票据权利的善意取得
piao-ju-tu-xiao 票据涂销
piao-ju-tui-piao 票据退票
piao-ju-wen-yi-xing 票据文义性
piao-ju-wu-yin-xing 票据无因性
piao-ju-xing-shi-yao-jian 票据形式要件
piao-ju-xing-wei 票据行为
piao-ju-xing-wei-dai-li 票据行为代理
piao-ju-yi-shi 票据遗失
piao-ju-yuan-yin 票据原因
piao-ju-yuan-yin-guan-xi 票据原因关系
piao-ju-yue-ding 票据约定
piao-ju-ze-ren 票据责任
piao-ju-zhan-dan 票据粘单
piao-ju-zi-jin 票据资金
piao-ke 嫖客
piao-liu-wu 漂流物
pin-ju 姘居
pin-qing-jian-ding 聘请鉴定
ping-an-xian 平安险
ping-cang 平仓
ping-deng-quan 平等权
ping-deng-zi-yuan 平等自愿
po-an 破案
po-chan 破产
po-chan-cai-chan 破产财产
po-chan-cai-chan-fen-pei 破产财产分配
po-chan-cai-tuan 破产财团
po-chan-cheng-xu 破产程序
po-chan-fa 破产法
po-chan-fei-yong 破产费用
po-chan-guan-li-ren 破产管理人
po-chan-jie-xian 破产界限
po-chan-qing-suan 破产清算
po-chan-shen-qing 破产申请
po-chan-tiao-jian 破产条件
po-chan-xuan-gao 破产宣告
po-chan-zhai-quan 破产债权
po-chan-zhai-wu 破产债务
po-chan-zhai-wu-ren 破产债务人
po-chan-zhong-jie 破产终结
po-huai-ji-ti-sheng-chan-zui 破坏集体生产罪
po-huai-jiao-tong-gong-ju-zui 破坏交通工具罪
po-huai-jiao-tong-she-bei-zui 破坏交通设备罪
po-huai-jie-bei-jie-zhuang-zui 破坏界碑界桩罪
po-huai-jun-hun-zui 破坏军婚罪
po-huai-ming-sheng-gu-ji-zui 破坏名胜古迹罪
po-huai-she-hui-zhu-yi-jing-ji-zhi-xu-zui 破坏社会主义经济秩序罪
po-huai-tong-xun-she-bei-zui 破坏通讯设备罪
po-huai-xuan-ju-zui 破坏选举罪
po-huai-yi-ran-yi-bao-she-bei-zui 破坏易燃易爆设备罪
po-huai-yong-jiu-xing-ce-liang-biao-zhi-zui 破坏永久性测量标志罪
po-huai-zhen-gui-wen-wu-zui 破坏珍贵文物罪
po-sun-jia-ting 破损家庭
pu-tong-cheng-xu 普通程序
pu-tong-de-fan-zui-gou-cheng 普通的犯罪构成
pu-tong-fa 普通法
pu-tong-fa-xi 普通法系
pu-tong-fan-zui 普通犯罪
pu-tong-gu 普通股
pu-tong-xing-shi-an-jian 普通刑事案件
pu-tong-xu-ke 普通许可
pu-tong-xu-ke-shi-yong 普通许可使用
qi-duo-jun 漆多俊
qi-hou-bei-shu 期后背书
qi-huo-jiao-yi 期货交易
qi-huo-jing-ji-zi-ge 期货经纪资格
qi-jian 期间
qi-piao 期票
qi-quan-jiao-yi 期权交易
qi-ri 期日
qi-su 起诉
qi-su-cheng-xu 起诉程序
qi-su-jue-ding 起诉决定
qi-su-shu 起诉书
qi-su-xing-shi 起诉形式
qi-suan-dian 起算点
qi-xian 期限
qi-ye-chan-quan-jie-ding 企业产权界定
qi-ye-fa-ren 企业法人
qi-ye-fa-ren-ming-cheng-de-bian-geng 企业法人名称的变更
qi-ye-fen-li 企业分立
qi-ye-fen-li-de-zhai-wu-cheng-dan 企业分立的债务承担
qi-ye-gai-zhi 企业改制
qi-ye-gai-zhi-de-zhai-wu-cheng-dan 企业改制的债务承担
qi-ye-gai-zhi-gong-si-tou-zi-fa-lv-guan-xi 企业改制公司投资法律关系
qi-ye-gua-kao 企业挂靠
qi-ye-he-bing 企业合并
qi-ye-he-bing-de-zhai-wu-cheng-dan 企业合并的债务承担
qi-ye-ji-jin 企业基金
qi-ye-ji-tuan 企业集团
qi-ye-jian-bing 企业兼并
qi-ye-jian-bing-de-zhai-wu-cheng-dan 企业兼并的债务承担
qi-ye-jing-ying-zi-zhu-quan 企业经营自主权
qi-ye-ming-cheng 企业名称
qi-ye-ming-cheng-quan 企业名称权
qi-ye-po-chan-fa 企业破产法
qi-ye-qing-suan-de-zhai-wu-cheng-dan 企业清算的债务承担
qi-ye-zhai-quan 企业债券
qi-ye-zhuan-rang 企业转让
qi-ye-zi-hao 企业字号
qi-ye-zu-lin 企业租赁
qi-yue-xing-ji-jin 契约型基金
qi-zha 欺诈
qi-zha-li-wai 欺诈例外
qian-ding-ri-qi 签订日期
qian-lian-guan-xia 牵连管辖
qian-shou 前手
qian-zhang 签章
qian-zhi-cheng-xu 前置程序
qian-zi 签字
qiang-du 抢赌
qiang-duo-gong-wen-zheng-jian-yin-zhang-zui 抢夺公文证件印章罪
qiang-duo-qiang-zhi-dan-yao-zui 抢夺枪支弹药罪
qiang-duo-zui 抢夺罪
qiang-jian-fu-nv-zui 强奸妇女罪
qiang-jie-zui 抢劫罪
qiang-po-fu-nv-mai-yin-zui 强迫妇女卖淫罪
qiang-po-gou-mai 强迫购买
qiang-qin 抢亲
qiang-shi-gong 强世功
qiang-xing-ping-cang 强行平仓
qiang-zhi-bao-xian 强制保险
qiang-zhi-cuo-shi 强制措施
qiang-zhi-ji-xu-lv-xing 强制继续履行
qiang-zhi-jiao-yi 强制交易
qiang-zhi-mai-chuan 强制卖船
qiang-zhi-ren-shen-bao-xian 强制人身保险
qiang-zhi-xiao-hui 强制销毁
qiang-zhi-xie-huo 强制卸货
qiang-zhi-xing-gui-ding 强制性规定
qiang-zhi-xing-qi-xian 强制性期限
qiang-zhi-xu-ke 强制许可
qiao-xin-sheng 乔新生
qiao-zha-le-suo-zui 敲诈勒索罪
qin-fan-cai-chan-suo-you-quan 侵犯财产所有权
qin-fan-cai-chan-zui 侵犯财产罪
qin-fan-gong-min-min-zhu-quan-li 侵犯公民民主权利
qin-fan-gong-min-ren-shen-quan-li-min-zhu-quan-li-zui 侵犯公民人身权利民主权利罪
qin-fan-gong-min-tong-xun-zi-you-zui 侵犯公民通讯自由罪
qin-fan-shang-biao-quan 侵犯商标权
qin-fan-shang-ye-mi-mi-xing-wei 侵犯商业秘密行为
qin-fan-shao-shu-min-zu-feng-su-xi-guan-zui 侵犯少数民族风俗习惯罪
qin-fan-zhu-zhai-quan 侵犯住宅权
qin-fan-zi-zhu-jing-ying-quan 侵犯自主经营权
qin-gao-zui 亲告罪
qin-hai-cai-kuang-quan 侵害采矿权
qin-hai-fan 侵害犯
qin-hai-fang-wu-suo-you-quan 侵害房屋所有权
qin-hai-gu-yi 侵害故意
qin-hai-ming-yu-quan 侵害名誉权
qin-hai-mu-xue-shi-yong-quan 侵害墓穴使用权
qin-hai-xiao-xiang-quan 侵害肖像权
qin-hai-xing-ming-quan 侵害姓名权
qin-hui 秦晖
qin-quan 侵权
qin-quan-chan-pin 侵权产品
qin-quan-jian-jie-sun-shi 侵权间接损失
qin-quan-sun-hai-pei-chang 侵权损害赔偿
qin-quan-xing-wei 侵权行为
qin-quan-zhi-jie-sun-shi 侵权直接损失
qin-sheng-zi-jian-ding 亲生子鉴定
qin-shou-fan 亲手犯
qin-zhan-cai-chan 侵占财产
qin-zi-jian-ding 亲子鉴定
qing-chang 清偿
qing-chang-biao-di 清偿标的
qing-chang-dang-shi-ren 清偿当事人
qing-chang-di-chong 清偿抵充
qing-chang-fei-yong 清偿费用
qing-chang-shun-xu 清偿顺序
qing-jie-jia-zhong-fan 情节加重犯
qing-jie-ti-dan 清洁提单
qing-mo-yu-bei-li-xian 清末预备立宪
qing-qiu 请求
qing-qiu-quan 请求权
qing-qiu-quan-jing-he 请求权竞合
qing-qiu-quan-jing-he 请求权竟合
qing-shi-bian-geng 情势变更
qing-suan 清算
qing-suan-ren 清算人
qing-wei-xing-shi-an-jian 轻微刑事案件
qing-xiang-fan 倾向犯
qing-xiao 倾销
qing-zui 轻罪
qiu-chang-quan 求偿权
qiu-yong-hong 邱永红
qu-bao-hou-shen 取保候审
qu-bao-hou-shen-jue-ding-shu 取保候审决定书
qu-de-shi-xiao 取得时效
qu-de-shuo 取得说
qu-hui-quan 取回权
qu-ji-fa-lv 区际法律
qu-ji-si-fa-chong-tu 区际司法冲突
qu-ji-si-fa-xie-zhu 区际司法协助
qu-tong-zu 瞿同祖
qu-xiao 取消
qu-zhu-chu-jing 驱逐出境
quan-bu-bao-xian 全部保险
quan-bu-bu-neng 全部不能
quan-bu-lou-chu-shuo 全部露出说
quan-e-pei-chang 全额赔偿
quan-guo-ge-ji-jian-cha-ji-guan 全国各级检察机关
quan-guo-ren-da-chang-wei-hui 全国人大常委会
quan-guo-ren-da-chang-wei-hui-fa-zhi-gong-zuo-wei-yuan 全国人大常委会法制工作委员
quan-guo-ren-min-dai-biao-da-hui-chang-wu-wei-yuan 全国人民代表大会常务委员
quan-guo-ren-min-dai-biao-da-hui-zu-zhi-fa 全国人民代表大会组织法
quan-li 权利
quan-li-chong-tu 权利冲突
quan-li-fan-wei 权利范围
quan-li-ji-guan 权力机关
quan-li-jing-he 权利竞合
quan-li-neng-li 权利能力
quan-li-xia-ci-dan-bao 权利瑕疵担保
quan-li-yao-qiu 权利要求
quan-li-yao-qiu-shu 权利要求书
quan-li-yi-wu 权利义务
quan-li-zhi-quan 权利质权
quan-li-zhi-ya 权利质押
quan-mian-lv-xing 全面履行
quan-min-suo-you-zhi-qi-ye-cai-chan-jing-ying-quan 全民所有制企业财产经营权
quan-quan-dai-li 全权代理
quan-xian-fan-wei 权限范围
quan-yi-zhuan-rang-shu 权益转让书
que-ding-qi-xian 确定期限
que-ding-zi-ben-zhi 确定资本制
que-quan 确权
que-ren-shu 确认书
que-xi-pan-jue 缺席判决
que-xian-chan-pin 缺陷产品
que-xiao-wei-sui 缺效未遂
rang-lu-chuan 让路船
rang-yu-dan-bao 让予担保
rao-hang 绕航
rao-luan-she-hui-zhi-xu-zui 扰乱社会秩序罪
ren-ding 认定
ren-ding-fa-lv-shi-shi 认定法律事实
ren-ding-you-xiao 认定有效
ren-fan 人犯
ren-ge-quan 人格权
ren-gong-shou-jing 人工受精
ren-gu 认股
ren-he-gong-si 人合公司
ren-min-fa-yuan 人民法院
ren-min-fa-yuan-shen-pan-an-jian 人民法院审判案件
ren-min-jian-cha-yuan 人民检察院
ren-quan 人权
ren-quan-xuan-yan 人权宣言
ren-shen-bao-xian 人身保险
ren-shen-bao-xian-he-tong-de-bao-xian-jin 人身保险合同的保险金
ren-shen-fa 人身罚
ren-shen-guan-xi 人身关系
ren-shen-jian-cha 人身检查
ren-shen-quan 人身权
ren-shen-quan-li 人身权利
ren-shen-shang-hai 人身伤害
ren-shen-sou-cha 人身搜查
ren-shen-sun-hai 人身损害
ren-shen-sun-hai-pei-chang 人身损害赔偿
ren-shi-pin-yong-he-tong 人事聘用合同
ren-shou-bao-xian 人寿保险
ren-wu-xing-xiang 人物形象
ren-yi-de-gong-fan 任意的共犯
ren-yi-xing-gui-ding 任意性规定
ren-yi-zhi-zhai 任意之债
ren-zheng 认证
ren-zheng-biao-zhi 认证标志
ren-zhi 人治
rong-liu-fu-nv-mai-yin-zui 容留妇女卖淫罪
rong-tong-wu 融通物
rong-yu-quan 荣誉权
rong-zi 融资
rong-zi-zu-lin 融资租赁
rong-zi-zu-lin-he-tong 融资租赁合同
rong-zi-zu-lin-wu-xuan-ze-quan 融资租赁物选择权
ru-huo 入伙
ru-jia-si-xiang 儒家思想
ru-shi-gao-zhi 如实告知
ru-shi-jiao-yi 入市交易
ru-zhui 入赘
ruan-jian 软件
ruan-jian-kai-fa-ren-yuan-de-quan-li 软件开发人员的权利
ruan-jian-zhu-zuo-quan 软件著作权
ruo-gan-wen-ti-de-jie-shi 若干问题的解释
sa-wei-ni 萨维尼
san-dai-yi-nei-pang-xi-xue-qin 三代以内旁系血亲
san-dai-yi-nei-zhi-xi-xue-qin 三代以内直系血亲
san-fang-ze-ren-shi-gu 三方责任事故
san-guo-fa 三国法
san-huo 散伙
san-lai-yi-bu 三来一补
san-lian-shu-dian 三联书店
san-quan-fen-li 三权分立
san-tong-shi-yuan-ze 三同时原则
sha-ren-zui 杀人罪
sha-ying 杀婴
shan-dong-da-xue 山东大学
shan-dong-da-xue-fa-xue-yuan 山东大学法学院
shan-liang-feng-su 善良风俗
shan-yang 赡养
shan-yi 善意
shan-yi-chi-piao-ren 善意持票人
shan-yi-di-san-ren 善意第三人
shan-yi-qu-de 善意取得
shan-yi-shi-yong 善意使用
shan-yi-zhan-you 善意占有
shang-biao-bao-zhuang-yu-zhuang-huang 商标包装与装潢
shang-biao-bu-dang-zhu-ce 商标不当注册
shang-biao-fa 商标法
shang-biao-ping-shen-wei-yuan-hui-de-zhong-ju-jue-ding 商标评审委员会的终局决定
shang-biao-qiang-zhu 商标抢注
shang-biao-qin-quan 商标侵权
shang-biao-quan 商标权
shang-biao-xu-ke-shi-yong 商标许可使用
shang-biao-zhuan-yong-quan 商标专用权
shang-biao-zhuan-yong-quan-zhuan-rang 商标专用权转让
shang-fa 商法
shang-fa-dian 商法典
shang-fa-fa-ren 商法法人
shang-hai-zui 伤害罪
shang-hao-quan 商号权
shang-pin-bao-zhuang-he-zhuang-huang 商品包装和装潢
shang-pin-bao-zhuang-zhuang-huang 商品包装装潢
shang-pin-de-tong-yong-ming-cheng 商品的通用名称
shang-pin-fang-gou-xiao-he-tong 商品房购销合同
shang-pin-fang-mai-mai-fa-lv-guan-xi 商品房买卖法律关系
shang-pin-fang-xie-yi-shu 商品房协议书
shang-pin-fang-yu-shou 商品房预售
shang-pin-fang-yu-shou-he-tong 商品房预售合同
shang-pin-fen-lei 商品分类
shang-pin-hua-quan 商品化权
shang-pin-jian-yan 商品检验
shang-pin-jing-ji 商品经济
shang-pin-zhi-liang 商品质量
shang-pin-zhi-ming-du 商品知名度
shang-shi-gong-si 上市公司
shang-shi-guan-xi 商事关系
shang-shi-he-huo 商事合伙
shang-su 上诉
shang-su-an-jian 上诉案件
shang-su-gai-pan 上诉改判
shang-wei-chu-cha-feng-zhuang-tai 尚未处查封状态
shang-wei-kai-shi-de-qin-hai 尚未开始的侵害
shang-wu-yin-shu-guan 商务印书馆
shang-ye-hui-lu 商业贿赂
shang-ye-hui-lu-xing-wei 商业贿赂行为
shang-ye-mi-mi 商业秘密
shang-ye-xin-yu 商业信誉
shang-ye-yin-hang 商业银行
shang-ye-yin-hang-fa 商业银行法
shang-yu 商誉
shang-zai-xia-zai 上载下载
shao-shu-min-zu-hun-yin-cai-li-wen-ti 少数民族婚姻彩礼问题
she-hui-bao-xian 社会保险
she-hui-fa 社会法
she-hui-fa-xue 社会法学
she-hui-fa-xue-pai 社会法学派
she-hui-gong-de 社会公德
she-hui-gong-zhi-ji-shu 社会公知技术
she-hui-guan-xi 社会关系
she-hui-gui-fan 社会规范
she-hui-ti-xi 社会体系
she-hui-wei-hai-xing 社会危害性
she-hui-zhi-xu 社会秩序
she-hui-zhu-yi 社会主义
she-hui-zhu-yi-fa-zhi-guo-jia 社会主义法治国家
she-hui-zu-zhi 社会组织
she-mai 赊买
she-tai-ren-shen-guan-xi 涉台人身关系
she-tuan-fa-ren 社团法人
she-wai-chong-hun 涉外重婚
she-wai-dong-chan-suo-you-quan 涉外动产所有权
she-wai-guan-xia 涉外管辖
she-wai-hun-yin 涉外婚姻
she-wai-min-shang-shi-an-jian 涉外民商事案件
she-wai-shang-pin-fang-yu-shou-fa-lv-guan-xi 涉外商品房预售法律关系
she-wai-xing-shi-an-jian 涉外刑事案件
she-xiao 赊销
she-xing-he-tong 射倖合同
she-ying-he-tong 摄影合同
she-zhi 摄制
shen-bao-zhai-quan 申报债权
shen-cha 审查
shen-cha-pi-bu 审查批捕
shen-cha-qi-su 审查起诉
shen-dan 审单
shen-fen-fa-lv-xing-wei 身份法律行为
shen-fen-fan 身份犯
