;; -*- coding: utf-8 -*--
a-li-tong 阿里通
wen-ti-chen-shu-fen-xi-cheng-xu 问题陈述分析程序
wen-ti-chen-shu-yu-yan 问题陈述语言
wen-ti-chong-gou 问题重构
wen-ti-gui-yue 问题归约
wen-ti-hui-da-xi-tong 问题回答系统
wen-ti-kong-jian 问题空间
wen-ti-qiu-jie 问题求解
wen-ti-qiu-jie-xi-tong 问题求解系统
wen-ti-zhen-duan 问题诊断
wen-ti-zhuang-tai 问题状态
wen-xian-fen-xi 文献分析
wen-xian-shu-ju-ku 文献数据库
wen-ya-dian-yuan 稳压电源
wen-ya-wen-pin-dian-yuan 稳压稳频电源
wen-yu-zhuan-huan 文语转换
wen-yu-zhuan-huan-xi-tong 文语转换系统
wen-zhang-li-jie 文章理解
wen-zhang-sheng-cheng 文章生成
wen-zi 文字
wen-zi-da-yin 文字打印
wo-lun-chou-xiang-ji 沃伦抽象机
wu-cha 误差
wu-cha-cuo 无差错
wu-cha-gu-ji 误差估计
wu-cuo-cao-zuo 无错操作
wu-cuo-wu 无错误
wu-cuo-yun-xing-qi 无错运行期
wu-dong-zuo 误动作
wu-duan-jie 无端接
wu-fen-lei 误分类
wu-gu-zhang 无故障
wu-gu-zhang-yun-xing 无故障运行
wu-ji-e-xing 无饥饿性
wu-jian 误检
wu-jian-du-xue-xi 无监督学习
wu-lei-bie-yu-ji-lu-you-xuan-ze 无类别域际路由选择
wu-li-an-quan 物理安全
wu-li-bu-ju 物理布局
wu-li-bu-xian 物理布线
wu-li-ceng 物理层
wu-li-di-zhi 物理地址
wu-li-fang-wen-kong-zhi 物理访问控制
wu-li-fen-ye 物理分页
wu-li-fu-hao-xi-tong 物理符号系统
wu-li-ge-jue-wang-luo 物理隔绝网络
wu-li-gu-zhang 物理故障
wu-li-jie-zhi 物理介质
wu-li-ju-chai-fen 无理据拆分
wu-li-mei-ti-lian-jie 物理媒体连接
wu-li-mo-ni 物理模拟
wu-li-mo-shi 物理模式
wu-li-pei-zhi-shen-ji 物理配置审计
wu-li-she-bei 物理设备
wu-li-she-bei-biao 物理设备表
wu-li-shu-ju-du-li-xing 物理数据独立性
wu-li-xin-hao 物理信号
wu-li-xin-ling-xin-dao 物理信令信道
wu-li-xu-qiu 物理需求
wu-lian-jie 无连接
wu-lian-jie-ye-wu 无连接业务
wu-ma 误码
wu-ma-lv 误码率
wu-pian-gu-ji 无偏估计
wu-qiong-bian-shi 无穷辨识
wu-qiong-ji 无穷集
wu-qiong-mu-biao 无穷目标
wu-ran 污染
wu-shang-hai-ce-shi 无伤害测试
wu-shi-zhen-tu-xiang-ya-suo 无失真图像压缩
wu-si-suo-xing 无死锁性
wu-sun-fen-jie 无损分解
wu-sun-lian-jie 无损联结
wu-sun-ya-suo 无损压缩
wu-ti-kong-jian 物体空间
wu-wei-kai-guan 物位开关
wu-wo-cheng-xu-she-ji 无我程序设计
wu-xian-fa-song 无线发送
wu-xian-wang 无限网
wu-xian-zhi-biao-yu-yan 无线置标语言
wu-xiang-wang 无向网
wu-xiao 无效
wu-xiao-xin-yuan 无效信元
wu-xu 无序
wu-xun-huan-she-zhi 无循环设置
wu-yin-xian-xin-pian-zai-ti 无引线芯片载体
wu-yong-fu 无用符
wu-yong-xin-xi 无用信息
wu-yong-xin-xi-qu 无用信息区
wu-yong-xin-xi-shou-ji-cheng-xu 无用信息收集程序
wu-yuan-di-ban 无源底板
wu-yuan-di-ban-zong-xian 无源底板总线
wu-zhi-ban-gong-shi 无纸办公室
wu-zi-xu-qiu-gui-hua 物资需求规划
xi-bao-zi-dong-ji 细胞自动机
xi-fen 细分
xi-gou 析构
xi-gou-han-shu 析构函数
xi-han-jin-shu-ci-tou 隙含金属磁头
xi-hua 细化
xi-jie-ceng-ci 细节层次
xi-jun 细菌
xi-li-du 细粒度
xi-mo-xing 吸墨性
xi-qu-fan-shi 析取范式
xi-shang-ji-suan-ji 膝上计算机
xi-shu-ji 稀疏集
xi-shu-shu-ju 稀疏数据
xi-suo-yin 细索引
xi-tong 系统
xi-tong-an-zhuang 系统安装
xi-tong-bian-cheng-yu-yan 系统编程语言
xi-tong-bian-jie 系统边界
xi-tong-bian-shi 系统辨识
xi-tong-ce-shi 系统测试
xi-tong-ce-shi-fang-shi 系统测试方式
xi-tong-cuo-wu 系统错误
xi-tong-de 系统地
xi-tong-dian-bo 系统颠簸
xi-tong-diao-cha 系统调查
xi-tong-diao-du 系统调度
xi-tong-diao-du-cheng-xu 系统调度程序
xi-tong-diao-du-jian-cha-dian 系统调度检查点
xi-tong-diao-yong 系统调用
xi-tong-dong-li-mo-xing 系统动力模型
xi-tong-dui 系统对
xi-tong-dui-lie-qu 系统队列区
xi-tong-fen-pai 系统分派
xi-tong-fen-xi 系统分析
xi-tong-fu-wu 系统服务
xi-tong-fu-zhu-lian-jie 系统辅助连接
xi-tong-gai-shu 系统概述
xi-tong-gao-an-quan 系统高安全
xi-tong-gao-an-quan-fang-shi 系统高安全方式
xi-tong-gong-ji 系统攻击
xi-tong-gong-neng 系统功能
xi-tong-gong-zuo-zhan 系统工作栈
xi-tong-gu-zhang 系统故障
xi-tong-guan-li 系统管理
xi-tong-guan-li-jian-kong-cheng-xu 系统管理监控程序
xi-tong-guan-li-she-shi 系统管理设施
xi-tong-guan-li-wen-jian 系统管理文件
xi-tong-guan-li-yuan 系统管理员
xi-tong-he-xin 系统核心
xi-tong-hu-lian 系统互连
xi-tong-huan-jing 系统环境
xi-tong-huo-dong 系统活动
xi-tong-ji-cheng 系统集成
xi-tong-ji-zong-he 系统级综合
xi-tong-jian-rong-xing 系统兼容性
xi-tong-jian-shi 系统监视
xi-tong-jie-gou 系统结构
xi-tong-jin-cheng 系统进程
xi-tong-kai-xiao 系统开销
xi-tong-ke-kao-xing 系统可靠性
xi-tong-ke-xing-xing 系统可行性
xi-tong-ke-yong-xing 系统可用性
xi-tong-kong-zhi 系统控制
xi-tong-kong-zhi-cheng-xu 系统控制程序
xi-tong-kong-zhi-wen-jian 系统控制文件
xi-tong-ku 系统库
xi-tong-kuo-chong 系统扩充
xi-tong-mi-yue 系统密钥
xi-tong-ming-ling 系统命令
xi-tong-ming-ling-jie-shi-cheng-xu 系统命令解释程序
xi-tong-mo-ni 系统模拟
xi-tong-mu-biao 系统目标
xi-tong-mu-lu 系统目录
xi-tong-mu-lu-biao 系统目录表
xi-tong-nei-he 系统内核
xi-tong-pan 系统盘
xi-tong-pan-zu 系统盘组
xi-tong-pei-zhi 系统配置
xi-tong-ping-jia 系统评价
xi-tong-po-huai-zhe 系统破坏者
xi-tong-qi-dong 系统启动
xi-tong-que-ren 系统确认
xi-tong-ren-wu 系统任务
xi-tong-ren-wu-ji 系统任务集
xi-tong-ri-zhi 系统日志
xi-tong-ruan-jian 系统软件
xi-tong-she-ji 系统设计
xi-tong-she-ji-gui-ge-shuo-ming 系统设计规格说明
xi-tong-shen-ru 系统渗入
xi-tong-sheng-cheng 系统生成
xi-tong-sheng-cun-zhou-qi 系统生存周期
xi-tong-sheng-ji 系统升级
xi-tong-shi-shi 系统实施
xi-tong-shi-yong-cheng-xu 系统实用程序
xi-tong-si-suo 系统死锁
xi-tong-suo 系统锁
xi-tong-ti-shi-fu 系统提示符
xi-tong-ti-xi-jie-gou 系统体系结构
xi-tong-tui-hua 系统退化
xi-tong-wan-zheng-xing 系统完整性
xi-tong-wei-hu 系统维护
xi-tong-wei-hu-chu-li-ji 系统维护处理机
xi-tong-wen-dang 系统文档
xi-tong-wen-jian 系统文件
xi-tong-wen-jian-jia 系统文件夹
xi-tong-wu-cha 系统误差
xi-tong-xing-neng 系统性能
xi-tong-xing-neng-jian-shi-qi 系统性能监视器
xi-tong-xu-qiu 系统需求
xi-tong-yan-zheng 系统验证
xi-tong-ye-biao 系统页表
xi-tong-you-hua 系统优化
xi-tong-zai-qi-dong 系统再启动
xi-tong-zhen-duan 系统诊断
xi-tong-zhi-xing-cheng-xu 系统执行程序
xi-tong-zhong-duan 系统中断
xi-tong-zhong-duan-qing-qiu 系统中断请求
xi-tong-zhong-yang-chu-li-qi-shi-jian 系统中央处理器时间
xi-tong-zhu-liu-juan 系统驻留卷
xi-tong-zhu-liu-qu 系统驻留区
xi-tong-zhuan-gui 系统转轨
xi-tong-zhuang-kuang 系统状况
xi-tong-zhuang-pei 系统装配
xi-tong-zhuang-ru-cheng-xu 系统装入程序
xi-tong-zi-yuan 系统资源
xi-tong-zi-yuan-guan-li 系统资源管理
xi-tong-zi-yuan-guan-li-cheng-xu 系统资源管理程序
xi-xi-qi 吸锡器
xi-xian-yi-tai-wang 细线以太网
xi-xu 系序
xi-zhi 系值
xi-zhu 系主
xia-biao 下标
xia-biao-yue-jie 下标越界
xia-bo-zhuang-tai 下播状态
xia-dian 瑕点
xia-jiang-shi-jian 下降时间
xia-jiang-yan 下降沿
xia-la-shi-xuan-dan 下拉式选单
xia-que-jie 下确界
xia-tui 下推
xia-tui-biao 下推表
xia-tui-dui-lie 下推队列
xia-tui-shi-cun-chu-qi 下推式存储器
xia-tui-zi-dong-ji 下推自动机
xia-xing-lian-lu 下行链路
xia-yi 下溢
xia-yi-zhuang-tai-ji-shu-qi 下一状态计数器
xia-zai 下载
xia-zai-gong-ju 下载工具
xia-zhi-ling-zi-bu 下指令字部
xian-bei 先辈
xian-biao 线表
xian-chang-ke-bian-cheng-luo-ji-zhen-lie 现场可编程逻辑阵列
xian-chang-ke-bian-cheng-men-zhen-lie 现场可编程门阵列
xian-chang-ke-huan-dan-yuan 现场可换单元
xian-chang-ke-huan-jian 现场可换件
xian-chang-kong-zhi-zhan 现场控制站
xian-chang-she-bei 现场设备
xian-chang-sheng-ji 现场升级
xian-chang-zhi-huan-dan-yuan 现场置换单元
xian-chang-zhu-ti 现场主体
xian-chang-zong-xian 现场总线
xian-chang-zong-xian-kong-zhi-xi-tong 现场总线控制系统
xian-cheng 线程
xian-cheng-diao-du 线程调度
xian-cheng-jie-gou 线程结构
xian-cheng-kong-zhi-kuai 线程控制块
xian-dai-han-yu 现代汉语
xian-dai-han-yu-da-ci-dian 现代汉语大辞典
xian-dai-tong-yong-han-zi 现代通用汉字
xian-dian-zu 线电阻
xian-ding-tui-li 限定推理
xian-guang-yuan 线光源
xian-huo 线或
xian-huo-chan-pin 现货产品
xian-ji-bian 线畸变
xian-jian 先见
xian-jian-jin-ru 线间进入
xian-jian-suo 线检索
xian-jin-cao-zuo-huan-jing 先进操作环境
xian-jin-cao-zuo-xi-tong 先进操作系统
xian-jin-hou-chu 先进后出
xian-jin-kong-zhi 先进控制
xian-jin-xian-chu 先进先出
xian-ka 显卡
xian-kuang 线框
xian-lai-xian-fu-wu 先来先服务
xian-lan 线缆
xian-lan-tiao-zhi-jie-tiao-qi 线缆调制解调器
xian-lu-zao-sheng 线路噪声
xian-men 陷门
xian-men-dan-xiang-han-shu 陷门单向函数
xian-men-mi-ma-ti-zhi 陷门密码体制
xian-mi-du 线密度
xian-que-ren 线确认
xian-shi 显示
xian-shi-bing-xing-xing 显式并行性
xian-shi-fang-shi 显示方式
xian-shi-ge-shi 显示格式
xian-shi-qi 显示器
xian-shi-suan-fa 显示算法
xian-shi-wen-jian 显示文件
xian-shi-zhong-duan 显示终端
xian-shuai-jian 线衰减
xian-tiao-jian-ce 线条检测
xian-tie 衔铁
xian-xing 线型
xian-xing 线性
xian-xing-ding-chang-kong-zhi-xi-tong 线性定常控制系统
xian-xing-fang-cheng-zu 线性方程组
xian-xing-fen-ye 先行分页
xian-xing-gui-hua 线性规划
xian-xing-gui-jie 线性归结
xian-xing-jia-su-ding-li 线性加速定理
xian-xing-jian-ce 线性检测
xian-xing-kong-zhi 先行控制
xian-xing-kong-zhi-xi-tong 线性控制系统
xian-xing-liu-shui-xian 线性流水线
xian-xing-shi-bian-kong-zhi-xi-tong 线性时变控制系统
xian-xing-sou-suo 线性搜索
xian-xing-suan-fa 先行算法
xian-xing-tan-cha 线性探查
xian-xing-tu-xiang-chuan-gan-qi 线性图像传感器
xian-xing-wen-fa 线性文法
xian-xing-xi-tong 线性系统
xian-xing-yan-yi 线性演绎
xian-xing-you-jie-zi-dong-ji 线性有界自动机
xian-xing-yu-ce-bian-ma 线性预测编码
xian-xing-yu-yan 线性语言
xian-xing-zhi-ling-zhan 先行指令站
xian-xing-zu-zhi 线性组织
xian-yan-chi 线延迟
xian-yong-mu-lu 现用目录
xian-zhi-shi-jian 闲置时间
xiang-bian-die 相变碟
xiang-da 想打
xiang-dao 向导
xiang-dui-di-zhi 相对地址
xiang-dui-hua 相对化
xiang-dui-xian-chang-can-shu-hua 相对弦长参数化
xiang-guan-ce-shi 相关测试
xiang-guan-fen-xi-du-li-sheng-cheng 相关分析独立生成
xiang-guan-gui-ze 相关规则
xiang-guan-jian-cha 相关检查
xiang-guan-kong-zhi-bu-jian 相关控制部件
xiang-guan-pi-pei 相关匹配
xiang-guan-qu-dong 相关驱动
xiang-guan-tan-ce 相关探测
xiang-guan-xing-gu-zhang 相关型故障
xiang-hou-ke-da-xing 向后可达性
xiang-liang 向量
xiang-liang-bian-ma 向量编码
xiang-liang-cha-zhao 向量查找
xiang-liang-chao-ji-ji-suan-ji 向量超级计算机
xiang-liang-chu-li-qi 向量处理器
xiang-liang-hua 向量化
xiang-liang-hua-bian-yi-qi 向量化编译器
xiang-liang-hua-lv 向量化率
xiang-liang-ji-suan-ji 向量计算机
xiang-liang-ju-xing-ji-suan-ji 向量巨型计算机
xiang-liang-liang-hua 向量量化
xiang-liang-liu-shui-xian 向量流水线
xiang-liang-ping-bi 向量屏蔽
xiang-liang-shu-ju-jie-gou 向量数据结构
xiang-liang-sou-suo 向量搜索
xiang-liang-xian-shi 向量显示
xiang-liang-xun-huan-fang-fa 向量循环方法
xiang-liang-you-xian-ji-zhong-duan 向量优先级中断
xiang-liang-zhi-ling 向量指令
xiang-liang-zhong-duan 向量中断
xiang-mu-bu 项目簿
xiang-mu-guan-li 项目管理
xiang-mu-ji-hua 项目计划
xiang-mu-jin-du 项目进度
xiang-mu-wen-jian 项目文件
xiang-nong-cai-yang-ding-li 香农采样定理
xiang-pi-jin-fang-fa 橡皮筋方法
xiang-qian-ke-da-xing 向前可达性
xiang-rong-shou-lian 相容收敛
xiang-rong-xing 相容性
xiang-shang-jian-rong 向上兼容
xiang-si 相似
xiang-si-xing 相似性
xiang-si-xing-ce-du 相似性测度
xiang-si-xing-du-liang 相似性度量
xiang-si-xing-hu 相似性弧
xiang-su 像素
xiang-wei-bian-ma 相位编码
xiang-wei-yu-du 相位裕度
xiang-xi-she-ji 详细设计
xiang-xia-jian-rong 向下兼容
xiang-xin 相信
xiang-xin-luo-ji 相信逻辑
xiang-xin-mo-xing 向心模型
xiang-ying 响应
xiang-ying-chuang-kou 响应窗口
xiang-ying-fen-xi 响应分析
xiang-ying-shi-jian 响应时间
xiang-ying-shi-jian-chuang-kou 响应时间窗口
xiao-bei-ban 小背板
xiao-bo-bao-ji 小波包基
xiao-bo-bian-huan 小波变换
xiao-bo-ji 小波基
xiao-che 小车
xiao-ci 消磁
xiao-fu-wu-cheng-xu 小服务程序
xiao-hao-jian 消耗件
xiao-ji-suan-ji-xi-tong-jie-kou 小计算机系统接口
xiao-jian-pan 小键盘
xiao-jie-gui-ze 消解规则
xiao-ju-xing-ji-suan-ji 小巨型计算机
xiao-mi 消密
xiao-ping-mian 小平面
xiao-shi-zhuang-tai 消失状态
xiao-shou-dian 销售点
xiao-te-ji-er-ji-guan-duan-jie 肖特基二极管端接
xiao-xi 消息
xiao-xi-chu-li 消息处理
xiao-xi-chu-li-xi-tong 消息处理系统
xiao-xi-chuan-di 消息传递
xiao-xi-chuan-di-jie-kou 消息传递接口
xiao-xi-chuan-di-ku 消息传递库
xiao-xi-chuan-song-dai-li 消息传送代理
xiao-xi-chuan-song-xi-tong 消息传送系统
xiao-xi-cun-chu 消息存储
xiao-xi-fang-shi 消息方式
xiao-xi-pai-dui 消息排队
xiao-xi-ri-zhi 消息日志
xiao-xing-ji-suan-ji 小型计算机
xiao-yin 消隐
xiao-yin-chu-xian-feng-zhuang 小引出线封装
xiao-ying-yong-cheng-xu 小应用程序
xiao-yu-zhong 小语种
xie-bao-hu 写保护
xie-bo-xin-hao 谐波信号
xie-chu-li-qi 协处理器
xie-deng-zhou-ce-tou-ying 斜等轴测投影
xie-du-chuan-rao 写读串扰
xie-er-pai-xu 谢尔排序
xie-er-zhou-ce-tou-ying 斜二轴测投影
xie-fang-wen 写访问
xie-geng-xin-xie-yi 写更新协议
xie-guang-bo 写广播
xie-hou-du 写后读
xie-hou-xie 写后写
xie-hui 写回
xie-mi 泄密
xie-mi-fa-she 泄密发射
xie-po-han-shu 斜坡函数
xie-qian-bu-chang 写前补偿
xie-ren-wu 写任务
xie-shang 协商
xie-shu-ju-xian 写数据线
xie-suo 写锁
xie-ti 斜体
xie-tiao 协调
xie-tiao-cheng-xu 协调程序
xie-tiao-gong-shi 协调公式
xie-tiao-kong-zhi 协调控制
xie-tiao-shi-jie-shi-jian 协调世界时间
xie-tiao-zhe 协调者
xie-tong-cao-zuo-cheng-xu 协同操作程序
xie-tong-cao-zuo-jin-cheng 协同操作进程
xie-tong-chu-li 协同处理
xie-tong-duo-mei-ti 协同多媒体
xie-tong-duo-ren-wu-chu-li 协同多任务处理
xie-tong-gong-zuo 协同工作
xie-tong-guo 写通过
xie-tong-ji-suan 协同计算
xie-tong-jian-cha-dian 协同检查点
xie-tong-li-cheng 协同例程
xie-tong-zhu-zuo 协同著作
xie-tou-ying 斜投影
xie-wu-xiao 写无效
xie-xuan-ze-xian 写选择线
xie-yi 协议
xie-yi-gui-fan 协议规范
xie-yi-jian-bie-fu 协议鉴别符
xie-yi-shi-bai 协议失败
xie-yi-shi-ti 协议实体
xie-yi-shu-ju-dan-yuan 协议数据单元
xie-yi-tao 协议套
xie-yi-ying-she 协议映射
xie-yi-zhan 协议栈
xie-yi-zhuan-huan 协议转换
xie-zai 卸载
xie-zai-qu 卸载区
xie-zhi-da 写直达
xie-zhou-qi 写周期
xie-zuo 协作
xie-zuo-chu-li 协作处理
xie-zuo-dui-xiang 协作对象
xie-zuo-fen-bu 协作分布
xie-zuo-huan-jing 协作环境
xie-zuo-shi-wu-chu-li 协作事务处理
xie-zuo-ti-xi-jie-gou 协作体系结构
xie-zuo-xin-xi-xi-tong-kai-fa 协作信息系统开发
xie-zuo-xin-xi-zhu-ti 协作信息主体
xie-zuo-zhi-shi-ku-xi-tong 协作知识库系统
xin-dao 信道
xin-dao-rong-liang 信道容量
xin-hao 信号
xin-hao-bai-fu 信号摆幅
xin-hao-chong-gou 信号重构
xin-hao-chu-li 信号处理
xin-hao-chuan-shu 信号传输
xin-hao-dian-ya-jiang 信号电压降
xin-hao-jiao-huan 信号交换
xin-hao-liang 信号量
xin-hao-qing-bao 信号情报
xin-hao-tui-hua 信号退化
xin-hao-xian 信号线
xin-hao-yu-chu-li 信号预处理
xin-ji-shu-shi-chuang-cao-zuo-xi-tong 新技术视窗操作系统
xin-jian 芯件
xin-li-zhu-ti 心理主体
xin-ling 信令
xin-ling-xu-tong-dao 信令虚通道
xin-ling-zhong-duan 信令终端
xin-nian 信念
xin-nian-xiu-zheng 信念修正
xin-pian 芯片
xin-ren 信任
xin-ren-lian 信任链
xin-ren-luo-ji 信任逻辑
xin-ren-zhi-ji 新认知机
xin-wen-dian-bo 新闻点播
xin-xi 信息
xin-xi-an-quan 信息安全
xin-xi-bian-ma 信息编码
xin-xi-cai-ji 信息采集
xin-xi-chan-ye 信息产业
xin-xi-chu-li 信息处理
xin-xi-chu-li-xi-tong 信息处理系统
xin-xi-chu-li-yu-yan 信息处理语言
xin-xi-cun-chu-ji-shu 信息存储技术
xin-xi-dian-bo 信息点播
xin-xi-fa-bu 信息发布
xin-xi-fan-kui 信息反馈
xin-xi-fen-lei 信息分类
xin-xi-ge-shi 信息格式
xin-xi-gong-cheng 信息工程
xin-xi-gu-ji 信息估计
xin-xi-guan-li 信息管理
xin-xi-guan-li-xi-tong 信息管理系统
xin-xi-ji-shu 信息技术
xin-xi-jian-suo 信息检索
xin-xi-jie-gou 信息结构
xin-xi-jing-he-rong-liang 信息净荷容量
xin-xi-ke-ti 信息客体
xin-xi-kong-jian 信息空间
xin-xi-liu 信息流
xin-xi-liu-lan-fu-wu 信息浏览服务
xin-xi-liu-mo-xing 信息流模型
xin-xi-mo-xing 信息模型
xin-xi-nei-rong 信息内容
xin-xi-rong-yu 信息冗余
xin-xi-rong-yu-jian-yan 信息冗余检验
xin-xi-shang 信息熵
xin-xi-xi-tong 信息系统
xin-xi-xi-tong-an-quan-guan 信息系统安全官
xin-xi-xie-yi 信息协议
xin-xi-yin-bi 信息隐蔽
xin-xi-yin-xing-xing 信息隐形性
xin-xi-yuan 信息源
xin-xi-zeng-yi 信息增益
xin-xi-zhong-xin 信息中心
xin-xi-zhu-guan 信息主管
xin-xi-zhu-ti 信息主体
xin-xi-zi-duan 信息字段
xin-xi-zi-yuan-guan-li 信息资源管理
xin-yin-te-wang-zhi-shi-xi-tong 新因特网知识系统
xin-yong-hu-mian-fei 新用户免费
xin-yuan 信元
xin-yuan-chuan-song-yan-chi 信元传送延迟
xin-yuan-diu-shi-lv 信元丢失率
xin-yuan-hua-jie 信元划界
xin-yuan-tou 信元头
xin-yuan-yan-chi-bian-dong-liang 信元延迟变动量
xin-zao-bi 信噪比
xin-zhi-ji-li 心智机理
xin-zhi-neng-li 心智能力
xin-zhi-tu-xiang 心智图像
xin-zhi-xin-li-xue 心智心理学
xin-zhi-xin-xi-chuan-song 心智信息传送
xin-zhi-zhuang-tai 心智状态
xing-ba-wei 行八位
xing-can 形参
xing-cheng-bian-ma 行程编码
xing-cheng-chang-du 行程长度
xing-cheng-chang-du-bian-ma 行程长度编码
xing-cheng-chang-du-shou-xian-ma 行程长度受限码
xing-hua-dian-shi-guang-gao-guan-li-ruan-jian 兴华电视广告管理软件
xing-huan-wang 星环网
xing-mi-du 行密度
xing-neng 性能
xing-neng-bao-zheng 性能保证
xing-neng-bi 性能比
xing-neng-ce-liang 性能测量
xing-neng-guan-li 性能管理
xing-neng-gui-yue 性能规约
xing-neng-jian-shi 性能监视
xing-neng-ping-jia 性能评价
xing-neng-xu-qiu 性能需求
xing-shi-da-yin-ji 行式打印机
xing-shi-fang-fa 形式方法
xing-shi-gui-yue 形式规约
xing-shi-gui-ze 形式规则
xing-shi-miao-shu 形式描述
xing-shi-tui-li 形式推理
xing-shi-xi-tong 形式系统
xing-shi-yan-suan 形式演算
xing-shi-yu-yan 形式语言
xing-shi-yu-yi-xue 形式语义学
xing-shou 行首
xing-tai 性态
xing-te-xing 星特性
xing-wei-dong-hua 行为动画
xing-wei-mo-xing 行为模型
xing-wei-pian-xie 行位偏斜
xing-wei-zhu-ti 行为主体
xing-wen-fa 型文法
xing-xuan 行选
xing-ye-wu 型业务
xing-yu-yan 型语言
xing-zheng-an-quan 行政安全
xing-zhuang-fen-ge 形状分割
xing-zhuang-miao-shu 形状描述
xing-zhuang-qu-xian 形状曲线
xing-zhuang-te-zheng 形状特征
xing-zhuang-tui-li 形状推理
xing-zhuang-wang 星状网
xing-zhuang-yin-zi 形状因子
xiu-bu 修补
xiu-ding-ban 修订版
xiu-gai 修改
xiu-gai-jian-ce 修改检测
xiu-gai-jian-ce-ma 修改检测码
xiu-jian 修剪
xiu-li 修理
xiu-li-shi-jian 修理时间
xiu-li-yan-wu-shi-jian 修理延误时间
xiu-mian 休眠
xiu-mian-dui-lie 休眠队列
xiu-mian-fang-shi 休眠方式
xiu-mian-zhuang-tai 休眠状态
xiu-wu 锈污
xu-biao 虚表
xu-can-shu 虚参数
xu-cun-cao-zuo-xi-tong 虚存操作系统
xu-cun-ce-lue 虚存策略
xu-cun-ji-zhi 虚存机制
xu-cun-jie-gou 虚存结构
xu-cun-xi-tong 虚存系统
xu-cun-ye-mian-dui-huan 虚存页面对换
xu-dian-lu 虚电路
xu-duan 虚段
xu-duan-jie-gou 虚段结构
xu-fang 需方
xu-hu-jiao 虚呼叫
xu-hu-jiao-she-shi 虚呼叫设施
xu-jia-shan-qu 虚假扇区
xu-ke 许可
xu-ke-quan-qing-dan 许可权清单
xu-kua-bu 虚跨步
xu-lie-hao 序列号
xu-lie-mi-ma 序列密码
xu-ni 虚拟
xu-ni-an-quan-wang-luo 虚拟安全网络
xu-ni-cao-zuo-xi-tong 虚拟操作系统
xu-ni-cheng-yuan 虚拟成员
xu-ni-chu-li-qi 虚拟处理器
xu-ni-ci-pan-xi-tong 虚拟磁盘系统
xu-ni-cun-chu 虚拟存储
xu-ni-cun-chu-guan-li 虚拟存储管理
xu-ni-cun-chu-jie-gou 虚拟存储结构
xu-ni-cun-chu-qi 虚拟存储器
xu-ni-cun-chu-zhan 虚拟存储栈
xu-ni-di-zhi 虚拟地址
xu-ni-fang-shi 虚拟方式
xu-ni-huan-jing 虚拟环境
xu-ni-ji 虚拟机
xu-ni-ji-suan-ji 虚拟计算机
xu-ni-jiao-shi 虚拟教室
xu-ni-ju-yu-wang 虚拟局域网
xu-ni-kong-jian 虚拟空间
xu-ni-kong-zhi-cheng-xu-jie-kou 虚拟控制程序接口
xu-ni-kong-zhi-tai 虚拟控制台
xu-ni-ku 虚拟库
xu-ni-pan 虚拟盘
xu-ni-pan-chu-shi-hua-cheng-xu 虚拟盘初始化程序
xu-ni-qi-ye 虚拟企业
xu-ni-ren 虚拟人
xu-ni-ruan-pan 虚拟软盘
xu-ni-she-bei-qu-dong-cheng-xu 虚拟设备驱动程序
xu-ni-shi-jie 虚拟世界
xu-ni-shi-jing 虚拟实境
xu-ni-shu-ru-shu-chu-she-bei 虚拟输入输出设备
xu-ni-tu-shu-guan 虚拟图书馆
xu-ni-xi-tong 虚拟系统
xu-ni-xian-chang-she-bei 虚拟现场设备
xu-ni-xian-shi 虚拟现实
xu-ni-xian-shi-jian-mo-yu-yan 虚拟现实建模语言
xu-ni-xian-shi-jie-mian 虚拟现实界面
xu-ni-xun-zhi 虚拟寻址
xu-ni-xun-zhi-ji-zhi 虚拟寻址机制
xu-ni-yuan-xing-zhi-zuo 虚拟原型制作
xu-ni-zhi-zao 虚拟制造
xu-ni-zhong-duan 虚拟终端
xu-ni-zhong-duan-fu-wu 虚拟终端服务
xu-ni-zhuan-yong-wang 虚拟专用网
xu-ni-zhuan-yong-wang-luo 虚拟专用网络
xu-ni-zhuang-pei 虚拟装配
xu-ou 序偶
xu-qiu 需求
xu-qiu-fen-xi 需求分析
xu-qiu-gong-cheng 需求工程
xu-qiu-gui-yue 需求规约
xu-qiu-gui-yue-yu-yan 需求规约语言
xu-qiu-han-shu 需求函数
xu-qiu-jie-duan 需求阶段
xu-qiu-qu-dong 需求驱动
xu-qiu-shen-cha 需求审查
xu-qiu-yan-zheng 需求验证
xu-qu-yu 虚区域
xu-shun-chuan 虚顺串
xu-tong-dao 虚通道
xu-tong-dao-lian-jie 虚通道连接
xu-tong-dao-lian-lu 虚通道链路
xu-tong-lu 虚通路
xu-tong-lu-lian-jie 虚通路连接
xu-tong-lu-lian-lu 虚通路链路
xu-xian 虚线
xu-xun-zhi-gao-su-huan-cun 虚寻址高速缓存
xu-ye 虚页
xu-ye-hao 虚页号
xuan-bian 悬边
xuan-dan 选单
xuan-jian 选件
xuan-lu 选路
xuan-qu 选取
xuan-tong-xin-hao 选通信号
xuan-xiang 选项
xuan-ze 选择
xuan-ze-mi-wen-gong-ji 选择密文攻击
xuan-ze-ming-wen-gong-ji 选择明文攻击
xuan-ze-tong-dao 选择通道
xuan-ze-wang-luo 选择网络
xuan-ze-zhu-yi 选择注意
xuan-zhuan 旋转
xuan-zhuan-bian-huan 旋转变换
xuan-zhuan-qu-mian 旋转曲面
